Pcd,Lat,Long,Duration,Old Or New,Prd Category Type,Property Type,Price
BR34LN,51.403939,-0.041416,F,N,A,T,835000
BR34LT,51.409562,-0.040457,F,N,A,S,670000
BR34NF,51.408535,-0.045203,F,N,A,T,495000
BR34NF,51.408535,-0.045203,F,N,A,T,575000
BR34NN,51.404665,-0.053132,F,N,A,S,485000
BR34PL,51.407431,-0.033517,L,N,A,F,385000
BR34PX,51.407706,-0.042406,F,N,A,F,870000
BR34PZ,51.40645,-0.043682,F,N,A,S,820000
BR34QX,51.405756,-0.045753,F,N,A,T,535000
BR34SJ,51.405006,-0.054699,L,N,A,D,325000
BR34SP,51.408717,-0.049121,F,N,A,T,615000
BR34SS,51.407011,-0.052529,F,N,A,T,685000
BR34TW,51.407599,-0.053295,F,N,A,T,650000
BR35BL,51.412191,-0.016071,L,N,A,F,265000
BR35BT,51.414792,-0.018849,L,N,A,F,625000
BR35DG,51.411743,-0.020979,L,N,A,F,375000
BR35DG,51.411743,-0.020979,L,N,A,F,397300
BR35ES,51.410261,-0.012056,L,N,A,F,360000
BR35GD,51.41276,-0.016204,F,N,A,D,725000
BR35HA,51.40952,-0.003345,F,N,A,S,825000
BR35HF,51.410396,-0.015214,F,N,A,T,520000
BR35HN,51.408921,-0.01417,L,N,A,F,305000
BR35HS,51.408332,-0.00436,L,N,A,F,392500
BR35JA,51.409282,-0.016887,L,N,A,F,315000
BR35LN,51.410479,-0.023867,L,N,A,F,385000
BR35NU,51.406197,-0.015827,L,N,A,F,575000
BR35NY,51.409191,-0.011498,L,N,B,F,245000
BR35NZ,51.406592,-0.015206,L,N,A,F,220000
BR35PA,51.406942,-0.010963,F,N,A,D,1010000
BR35PB,51.407056,-0.008126,L,N,A,F,415000
BR35PE,51.407475,-0.01268,F,N,A,S,876500
BR35XY,51.407522,-0.005402,L,N,A,F,350000
BR35YB,51.406491,-0.014565,L,N,A,F,360000
BR36NA,51.403025,-0.018598,L,N,A,F,540000
BR36NJ,51.403819,-0.017684,L,N,A,F,421000
BR36NR,51.406605,-0.01867,F,N,A,T,540000
BR36NR,51.406605,-0.01867,F,N,A,T,498000
BR36NR,51.406605,-0.01867,F,N,A,T,533000
BR36PJ,51.404526,-0.012189,L,N,A,F,325000
BR36PY,51.402653,-0.015218,L,N,A,F,255000
BR36QH,51.400614,-0.018541,L,N,A,F,195000
BR36SP,51.392864,-0.001152,F,N,A,D,750000
BR36TS,51.405759,-0.020763,L,N,A,F,368000
BR36TW,51.406181,-0.02339,L,N,A,D,870000
BR40BG,51.381535,-0.00498,F,N,A,S,690000
BR40BQ,51.382403,-0.002614,F,N,A,S,616000
BR40DU,51.38337,0.001294,F,N,A,T,505000
BR40ES,51.384731,-0.002585,F,N,A,S,607000
BR40JW,51.378022,-0.017347,F,N,A,S,688000
BR40JW,51.378022,-0.017347,F,N,A,S,675000
BR40LG,51.378746,-0.024573,F,N,A,S,716750
BR40NF,51.376809,-0.018995,F,N,B,O,6955000
BR40NJ,51.37614,-0.01615,F,N,B,O,530000
BR40QT,51.381274,-0.016071,F,N,A,D,1125000
BR40QY,51.381593,-0.023243,F,N,A,T,495000
BR49AD,51.373716,-0.004228,F,N,A,D,435000
BR49AF,51.374375,-0.004357,F,N,A,S,225670
BR49AS,51.376425,-0.000647,F,N,A,S,675000
BR49BG,51.369081,-0.00397,F,N,A,S,495000
BR49BQ,51.369653,-0.00429,F,N,A,S,650000
BR49BX,51.371999,0.002608,F,N,A,S,810000
BR49DU,51.365394,0.009129,F,N,A,S,590000
BR49EA,51.362984,0.010173,F,N,A,S,500000
BR49ED,51.364077,0.007262,F,N,A,F,660000
BR49EX,51.363287,0.001409,F,N,A,T,585000
BR49LY,51.369745,-0.011872,F,N,A,D,737500
BR49LZ,51.369879,-0.01336,F,N,A,D,925000
BR49NX,51.374499,-0.02227,F,N,A,S,670000
BR49PG,51.375586,-0.024867,F,N,A,D,615000
BR49QH,51.374684,0.000743,F,N,A,D,900000
BR49QR,51.374734,0.00359,F,N,A,D,1250000
BR51AD,51.384708,0.064143,F,N,A,S,450000
BR51AQ,51.383933,0.063203,F,N,A,T,560000
BR51BD,51.386139,0.072227,F,N,A,S,552000
BR51BW,51.389125,0.06966,F,N,A,S,745000
BR51BX,51.389607,0.067325,F,N,A,S,637500
BR51BY,51.390722,0.069373,F,N,A,S,525000
BR51BZ,51.39037,0.069429,F,N,A,S,574000
BR51DJ,51.383661,0.076053,F,N,A,S,602000
BR51DY,51.385279,0.07456,L,N,A,F,302000
BR51GA,51.382743,0.085195,F,N,A,T,595000
BR51HJ,51.376611,0.076553,F,N,A,S,700000
BR51HJ,51.376611,0.076553,F,N,A,S,388000
BR51JB,51.387037,0.081452,F,N,A,S,875000
BR51LB,51.391172,0.088094,F,N,A,S,700000
BR51LH,51.38879,0.07893,F,N,A,S,578000
BR51LH,51.38879,0.07893,F,N,A,S,550000
BR51NJ,51.394386,0.073189,F,N,A,S,810000
BR51NP,51.389517,0.089614,F,N,A,D,1400000
BR51QA,51.392579,0.08179,F,N,A,D,970500
BR51QG,51.385825,0.085335,F,N,A,S,710000
BR51QJ,51.389648,0.088312,F,N,A,D,1150000
BR51QR,51.388805,0.085169,F,N,A,S,870000
BR51RY,51.377472,0.074652,F,N,A,T,430000
BR52AA,51.385995,0.10052,F,N,A,S,344000
BR52AP,51.387332,0.098181,F,N,A,S,450000
BR52BA,51.383015,0.105212,F,N,B,S,325000
BR52BB,51.383005,0.104278,F,N,A,S,410000
BR52BG,51.385065,0.105723,F,N,A,T,490000
BR52DF,51.390921,0.103117,F,N,A,S,400000
BR52EN,51.392961,0.104217,F,N,A,S,437000
BR52EP,51.392249,0.103796,F,N,A,S,380000
BR52FL,,,F,Y,A,D,650000
BR52HD,51.391065,0.105625,F,N,A,S,402500
BR52LF,51.396869,0.108939,F,N,B,O,1200000
BR52NG,51.397553,0.104888,F,N,A,T,270000
BR52NH,51.397707,0.101819,F,N,A,S,352500
BR52NU,51.395697,0.097558,F,N,A,S,475000
BR52QE,51.400333,0.098848,L,N,A,F,187000
BR52SS,51.405853,0.094399,F,N,A,S,675000
BR52TG,51.406976,0.093933,F,N,A,S,443000
BR52TH,51.407879,0.095757,F,N,A,S,420000
BR53AP,51.401702,0.109737,F,N,A,T,375000
