Pcd,Lat,Long,Duration,num_Dur,Old_Or_New,num_Old,Prd_Category_Type,num_Prd,Property_Type,num_Pro,dis_station,station_dis,station_Lat,station_Lng,dis_airport,air_dis,air_Lat,air_Lng,Price
BR35PB,51.407056,-0.008126,L,1,N,2,A,1,F,1,9.197,1,51.47,?-0.0942,31.127,0,51.1536621,0.182062,415000
BR35PE,51.407475,-0.01268,F,2,N,2,A,1,S,1.5,8.959,1,51.47,?-0.0942,31.305,0,51.1536621,0.182062,876500
BR35XY,51.407522,-0.005402,L,1,N,2,A,1,F,1,9.282,1,51.47,?-0.0942,31.094,0,51.1536621,0.182062,350000
BR35YB,51.406491,-0.014565,L,1,N,2,A,1,F,1,8.963,1,51.47,?-0.0942,31.206,0,51.4654953,-0.454687267,360000
BR36NA,51.403025,-0.018598,L,1,N,2,A,1,F,1,9.106,1,51.47,?-0.0942,31.018,0,51.4654953,-0.454687267,540000
BR36NJ,51.403819,-0.017684,L,1,N,2,A,1,F,1,9.071,1,51.47,?-0.0942,31.059,0,51.4654953,-0.454687267,421000
BR36NR,51.406605,-0.01867,F,2,N,2,A,1,T,1.5,8.781,1,51.47,?-0.0942,30.925,0,51.4654953,-0.454687267,540000
BR36NR,51.406605,-0.01867,F,2,N,2,A,1,T,1.5,8.781,1,51.47,?-0.0942,30.925,0,51.4654953,-0.454687267,498000
BR36NR,51.406605,-0.01867,F,2,N,2,A,1,T,1.5,8.781,1,51.47,?-0.0942,30.925,0,51.4654953,-0.454687267,533000
BR36PJ,51.404526,-0.012189,L,1,N,2,A,1,F,1,9.237,1,51.47,?-0.0942,30.995,0,51.1536621,0.182062,325000
BR36PY,51.402653,-0.015218,L,1,N,2,A,1,F,1,9.276,1,51.47,?-0.0942,30.9,0,51.1536621,0.182062,255000
BR36QH,51.400614,-0.018541,L,1,N,2,A,1,F,1,9.329,1,51.47,?-0.0942,30.802,0,51.1536621,0.182062,195000
BR36SP,51.392864,-0.001152,F,2,N,2,A,1,D,2,10.732,1,51.47,?-0.0942,29.494,0,51.1536621,0.182062,750000
BR36TS,51.405759,-0.020763,L,1,N,2,A,1,F,1,8.771,1,51.47,?-0.0942,30.803,0,51.4654953,-0.454687267,368000
BR36TW,51.406181,-0.02339,L,1,N,2,A,1,D,2,8.628,1,51.47,?-0.0942,30.615,0,51.4654953,-0.454687267,870000
BR40BG,51.381535,-0.00498,F,2,N,2,A,1,S,1.5,11.62,1,51.47,?-0.0942,28.485,0,51.1536621,0.182062,690000
