pcd,price,lng,lat
BR31RQ,309400,-0.031576,51.416805
BR31RT,285000,-0.024414,51.418465
BR31RX,322000,-0.028378,51.415573
BR31RZ,273750,-0.024894,51.420011
BR31TD,212666.67,-0.023881,51.418816
BR31TF,242500,-0.021213,51.42199
BR31TJ,297800,-0.031516,51.409816
BR31TN,220000,-0.023559,51.419287
BR31TQ,280000,-0.021033,51.421483
BR31TS,475000,-0.032163,51.41418
BR31TT,291875,-0.030701,51.413076
BR31TW,148500,-0.023326,51.419679
BR31TX,280000,-0.043534,51.411924
BR31UA,359000,-0.028112,51.41609
BR31UB,337000,-0.024953,51.41663
BR31UE,320000,-0.024029,51.417712
BR31WJ,305000,-0.02328,51.417088
BR31XF,162500,-0.031327,51.407529
BR33DQ,310000,-0.025611,51.388017
BR33DY,172500,-0.03887,51.391531
BR33EB,150415,-0.039561,51.391578
BR33FA,370000,-0.02607,51.381676
BR33GL,648666.67,-0.020237,51.391965
BR33LA,358750,-0.026496,51.406189
BR33XS,818000,-0.018445,51.393517
BR34AG,270000,-0.045783,51.398311
BR34AH,216500,-0.045804,51.397466
BR34BD,278000,-0.038239,51.402258
BR34BE,310000,-0.04651,51.398458
BR34DA,325000,-0.038699,51.401924
BR34DE,163725,-0.041042,51.39958
BR34DT,415000,-0.048485,51.400019
BR34EJ,363332.33,-0.050717,51.399931
BR34FB,281666.67,-0.04236,51.399351
BR34FP,277500,-0.039625,51.408513
BR34GB,392000,-0.033304,51.407373
BR34GL,265000,-0.042296,51.408918
BR34HX,382500,-0.033017,51.408691
BR34HY,410666.67,-0.034725,51.409448
BR34JB,445666.67,-0.037543,51.407094
BR34JH,250000,-0.033404,51.409731
BR34JN,466000,-0.038655,51.407319
BR34JS,380000,-0.040981,51.407061
BR34NG,345833.33,-0.047157,51.407227
BR34NL,333300,-0.050928,51.405788
BR34PL,385000,-0.033517,51.407431
BR34PP,801430,-0.035574,51.407744
BR34PS,314000,-0.039353,51.408491
BR34PU,280000,-0.039524,51.408521
BR34PX,385000,-0.042406,51.407706
BR34QD,160000,-0.03971,51.408542
BR34QR,412500,-0.046133,51.406293
BR34RB,178000,-0.053082,51.402452
BR34RF,216000,-0.050185,51.403645
BR34RJ,440000,-0.046152,51.410565
BR34RY,278000,-0.048197,51.407775
BR34SE,227500,-0.052351,51.405794
BR34SN,285000,-0.047444,51.409606
BR34SU,330000,-0.055027,51.405407
BR34SX,335000,-0.055376,51.405664
BR34SZ,300000,-0.053581,51.402901
BR34TA,351100,-0.056698,51.404994
BR34TE,314500,-0.055885,51.405924
BR34TL,315000,-0.036971,51.409701
BR34TN,242500,-0.053005,51.407325
BR34TP,225000,-0.048582,51.409562
BR34TY,251666.67,-0.033705,51.409404
BR34XD,300000,-0.033756,51.410564
BR34XS,250000,-0.049896,51.39962
BR35AA,325000,-0.023695,51.416133
BR35AB,360000,-0.022588,51.416779
BR35AD,425000,-0.022685,51.416538
BR35AG,290000,-0.024244,51.415728
BR35AU,456000,-0.022562,51.412768
BR35BE,260000,-0.018537,51.412349
BR35BG,415000,-0.017058,51.413619
BR35BL,272500,-0.016071,51.412191
BR35BT,625000,-0.018849,51.414792
BR35DA,420000,-0.01141,51.412561
BR35DB,334333.33,-0.012168,51.411981
BR35DG,404766.67,-0.020979,51.411743
BR35DQ,380000,-0.021913,51.411759
BR35DT,395000,-0.017442,51.408068
BR35DY,298000,-0.016755,51.40767
BR35DZ,285000,-0.015937,51.407296
BR35EE,125000,-0.012662,51.410865
BR35EH,375000,-0.024311,51.411521
BR35EL,185000,-0.021317,51.410922
BR35ER,348000,-0.017026,51.410723
BR35ES,393200,-0.012056,51.410261
BR35EY,335375,-0.009568,51.410264
BR35EZ,325000,-0.008235,51.410169
BR35FA,505000,-0.019029,51.409957
BR35FH,517475,-0.0172,51.4098
BR35GB,356250,-0.013707,51.410982
BR35HJ,460000,-0.019363,51.40954
BR35HL,416500,-0.019343,51.409998
BR35HN,262333.33,-0.01417,51.408921
BR35HR,393000,-0.011336,51.40863
BR35HS,392500,-0.00436,51.408332
BR35HT,621000,-0.005925,51.408053
BR35HU,223500,-0.018567,51.410003
BR35HW,332500,-0.013934,51.409403
BR35HX,420000,-0.006706,51.407967
BR35JA,303500,-0.016887,51.409282
BR35JB,370000,-0.023175,51.407518
BR35JZ,241000,-0.0104,51.408992
BR35LE,288333.33,-0.022544,51.407147
BR35LF,360000,-0.012703,51.410254
BR35LN,370000,-0.023867,51.410479
BR35NP,345000,-0.018024,51.406918
BR35NT,430000,-0.015792,51.406665
BR35NU,575000,-0.015827,51.406197
BR35NY,245000,-0.011498,51.409191
BR35NZ,220000,-0.015206,51.406592
